"","Human.Symbol","Homologene_ID","None","Mouse.Symbol","hg19","mm10"
"mm10_A1bg","A1BG",11167,"yes","A1bg","hg19_A1BG","mm10_A1bg"
"mm10_A1cf","A1CF",16363,"yes","A1cf","hg19_A1CF","mm10_A1cf"
"mm10_A2m","A2M",37248,"yes","A2m","hg19_A2M","mm10_A2m"
"mm10_A3galt2","A3GALT2",16326,"yes","A3galt2","hg19_A3GALT2","mm10_A3galt2"
"mm10_A4galt","A4GALT",9690,"yes","A4galt","hg19_A4GALT","mm10_A4galt"
"mm10_A4gnt","A4GNT",87446,"yes","A4gnt","hg19_A4GNT","mm10_A4gnt"
"mm10_Aaas","AAAS",9232,"yes","Aaas","hg19_AAAS","mm10_Aaas"
"mm10_Aacs","AACS",11322,"yes","Aacs","hg19_AACS","mm10_Aacs"
"mm10_Aadac","AADAC",37436,"yes","Aadac","hg19_AADAC","mm10_Aadac"
"mm10_Aadacl2","AADACL2",28634,"yes","Aadacl2","hg19_AADACL2","mm10_Aadacl2"
"mm10_Aadacl3","AADACL3",28426,"yes","Aadacl3","hg19_AADACL3","mm10_Aadacl3"
"mm10_Aadacl4","AADACL4",82530,"no","Aadacl4","hg19_AADACL4","mm10_Aadacl4"
"mm10_Aadat","AADAT",56540,"yes","Aadat","hg19_AADAT","mm10_Aadat"
"mm10_Aagab","AAGAB",11648,"yes","Aagab","hg19_AAGAB","mm10_Aagab"
"mm10_Aak1","AAK1",128746,"yes","Aak1","hg19_AAK1","mm10_Aak1"
"mm10_Aamdc","AAMDC",11658,"yes","Aamdc","hg19_AAMDC","mm10_Aamdc"
"mm10_Aamp","AAMP",846,"yes","Aamp","hg19_AAMP","mm10_Aamp"
"mm10_Aanat","AANAT",31013,"yes","Aanat","hg19_AANAT","mm10_Aanat"
"mm10_Aar2","AAR2",9170,"yes","Aar2","hg19_AAR2","mm10_Aar2"
"mm10_Aard","AARD",17041,"yes","Aard","hg19_AARD","mm10_Aard"
"mm10_Aars","AARS",1213,"yes","Aars","hg19_AARS","mm10_Aars"
"mm10_Aars2","AARS2",56897,"yes","Aars2","hg19_AARS2","mm10_Aars2"
"mm10_Aarsd1","AARSD1",6821,"yes","Aarsd1","hg19_AARSD1","mm10_Aarsd1"
"mm10_Aasdh","AASDH",71711,"yes","Aasdh","hg19_AASDH","mm10_Aasdh"
"mm10_Aasdhppt","AASDHPPT",9130,"yes","Aasdhppt","hg19_AASDHPPT","mm10_Aasdhppt"
"mm10_Aass","AASS",4212,"yes","Aass","hg19_AASS","mm10_Aass"
"mm10_Aatf","AATF",40811,"yes","Aatf","hg19_AATF","mm10_Aatf"
"mm10_Aatk","AATK",74861,"yes","Aatk","hg19_AATK","mm10_Aatk"
"mm10_Abat","ABAT",542,"yes","Abat","hg19_ABAT","mm10_Abat"
"mm10_Abca1","ABCA1",21130,"yes","Abca1","hg19_ABCA1","mm10_Abca1"
"mm10_Abca12","ABCA12",45441,"yes","Abca12","hg19_ABCA12","mm10_Abca12"
"mm10_Abca13","ABCA13",27991,"yes","Abca13","hg19_ABCA13","mm10_Abca13"
"mm10_Abca17","ABCA17P",86807,"yes","Abca17","hg19_ABCA17P","mm10_Abca17"
"mm10_Abca2","ABCA2",55590,"yes","Abca2","hg19_ABCA2","mm10_Abca2"
"mm10_Abca3","ABCA3",37437,"yes","Abca3","hg19_ABCA3","mm10_Abca3"
"mm10_Abca4","ABCA4",298,"yes","Abca4","hg19_ABCA4","mm10_Abca4"
"mm10_Abca5","ABCA5",10263,"yes","Abca5","hg19_ABCA5","mm10_Abca5"
"mm10_Abca6","ABCA6",71264,"yes","Abca6","hg19_ABCA6","mm10_Abca6"
"mm10_Abca7","ABCA7",22783,"yes","Abca7","hg19_ABCA7","mm10_Abca7"
"mm10_Abca8a","ABCA8",131160,"yes","Abca8a","hg19_ABCA8","mm10_Abca8a"
"mm10_Abca9","ABCA9",33332,"yes","Abca9","hg19_ABCA9","mm10_Abca9"
"mm10_Abcb1a","ABCB1",55496,"yes","Abcb1a","hg19_ABCB1","mm10_Abcb1a"
